granule_id,us_url,time_start,time_end,product,location,split,granuleSize
TEMPO_NO2_L2_V01_20231230T232423Z_S011G06.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T232423Z_S011G06.nc,2023-12-30T23:24:23Z,2023-12-30T23:31:00Z,tempo,la,train,94894503
TEMPO_NO2_L2_V01_20231230T231746Z_S011G05.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T231746Z_S011G05.nc,2023-12-30T23:17:46Z,2023-12-30T23:24:23Z,tempo,la,train,91520007
TEMPO_NO2_L2_V01_20231230T231109Z_S011G04.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T231109Z_S011G04.nc,2023-12-30T23:11:09Z,2023-12-30T23:17:46Z,tempo,la,train,70059070
TEMPO_NO2_L2_V01_20231230T230431Z_S011G03.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T230431Z_S011G03.nc,2023-12-30T23:04:31Z,2023-12-30T23:11:08Z,tempo,la,train,52105548
TEMPO_NO2_L2_V01_20231230T225754Z_S011G02.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T225754Z_S011G02.nc,2023-12-30T22:57:54Z,2023-12-30T23:04:31Z,tempo,la,train,49462590
TEMPO_NO2_L2_V01_20231230T225114Z_S011G01.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T225114Z_S011G01.nc,2023-12-30T22:51:14Z,2023-12-30T22:57:54Z,tempo,la,train,49672755
TEMPO_NO2_L2_V01_20231230T224418Z_S010G06.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T224418Z_S010G06.nc,2023-12-30T22:44:18Z,2023-12-30T22:50:55Z,tempo,la,train,94795965
TEMPO_NO2_L2_V01_20231230T223741Z_S010G05.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T223741Z_S010G05.nc,2023-12-30T22:37:41Z,2023-12-30T22:44:18Z,tempo,la,train,91035820
TEMPO_NO2_L2_V01_20231230T223104Z_S010G04.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T223104Z_S010G04.nc,2023-12-30T22:31:04Z,2023-12-30T22:37:41Z,tempo,la,train,70454098
TEMPO_NO2_L2_V01_20231230T222426Z_S010G03.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T222426Z_S010G03.nc,2023-12-30T22:24:26Z,2023-12-30T22:31:03Z,tempo,la,train,91165409
TEMPO_NO2_L2_V01_20231230T221749Z_S010G02.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T221749Z_S010G02.nc,2023-12-30T22:17:49Z,2023-12-30T22:24:26Z,tempo,la,train,84982685
TEMPO_NO2_L2_V01_20231230T221109Z_S010G01.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T221109Z_S010G01.nc,2023-12-30T22:11:09Z,2023-12-30T22:17:49Z,tempo,la,train,79571131
TEMPO_NO2_L2_V01_20231230T220413Z_S009G09.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T220413Z_S009G09.nc,2023-12-30T22:04:13Z,2023-12-30T22:10:50Z,tempo,la,train,94915910
TEMPO_NO2_L2_V01_20231230T215736Z_S009G08.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T215736Z_S009G08.nc,2023-12-30T21:57:36Z,2023-12-30T22:04:13Z,tempo,la,train,95344284
TEMPO_NO2_L2_V01_20231230T215059Z_S009G07.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T215059Z_S009G07.nc,2023-12-30T21:50:59Z,2023-12-30T21:57:36Z,tempo,la,train,96115881
TEMPO_NO2_L2_V01_20231230T214421Z_S009G06.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T214421Z_S009G06.nc,2023-12-30T21:44:21Z,2023-12-30T21:50:58Z,tempo,la,train,94402054
TEMPO_NO2_L2_V01_20231230T213744Z_S009G05.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T213744Z_S009G05.nc,2023-12-30T21:37:44Z,2023-12-30T21:44:21Z,tempo,la,train,90931378
TEMPO_NO2_L2_V01_20231230T213107Z_S009G04.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T213107Z_S009G04.nc,2023-12-30T21:31:07Z,2023-12-30T21:37:44Z,tempo,la,train,87382946
TEMPO_NO2_L2_V01_20231230T212429Z_S009G03.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T212429Z_S009G03.nc,2023-12-30T21:24:29Z,2023-12-30T21:31:06Z,tempo,la,train,81159885
TEMPO_NO2_L2_V01_20231230T211749Z_S009G02.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T211749Z_S009G02.nc,2023-12-30T21:17:49Z,2023-12-30T21:24:29Z,tempo,la,train,73946650
TEMPO_NO2_L2_V01_20231230T211109Z_S009G01.nc,https://data.asdc.earthdata.nasa.gov/asdc-prod-protected/TEMPO/TEMPO_NO2_L2_V01/2023.12.30/TEMPO_NO2_L2_V01_20231230T211109Z_S009G01.nc,2023-12-30T21:11:09Z,2023-12-30T21:17:49Z,tempo,la,train,65544374
